--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:36:07 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_8>,1.876µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_8>,Gaussian-50%Low[0.25 mm],2.5025 mm,269.60 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,101,3.1505,-1.0270,-0.7450,0.4299,0
1,102,3.1545,-1.1310,-0.7438,0.4312,0
1,103,3.1585,-1.2571,-0.7426,0.4324,0
1,104,3.1625,-1.3832,-0.7415,0.4336,0
1,105,3.1665,-1.4196,-0.7403,0.4349,0
1,106,3.1705,-1.3052,-0.7392,0.4361,0
1,107,3.1745,-1.0959,-0.7381,0.4373,0
1,108,3.1785,-0.8957,-0.7371,0.4383,0
1,109,3.1825,-0.7449,-0.7364,0.4392,0
1,110,3.1865,-0.6149,-0.7359,0.4397,0
1,111,3.1905,-0.4979,-0.7358,0.4399,0
1,112,3.1945,-0.4147,-0.7363,0.4395,0
1,113,3.1985,-0.3731,-0.7375,0.4384,0
1,114,3.2025,-0.3484,-0.7393,0.4367,0
1,115,3.2065,-0.3250,-0.7420,0.4341,0
1,116,3.2105,-0.3055,-0.7455,0.4307,0
1,117,3.2145,-0.2873,-0.7498,0.4264,0
1,118,3.2185,-0.2795,-0.7551,0.4213,0
1,119,3.2225,-0.3120,-0.7611,0.4153,0
1,120,3.2265,-0.3991,-0.7679,0.4086,0
1,121,3.2305,-0.5122,-0.7754,0.4012,0
1,122,3.2345,-0.6110,-0.7834,0.3933,0
1,123,3.2385,-0.7007,-0.7918,0.3850,0
1,124,3.2425,-0.8112,-0.8004,0.3764,0
1,125,3.2465,-0.9412,-0.8091,0.3678,0
1,126,3.2505,-1.0569,-0.8179,0.3591,0
1,127,3.2545,-1.1570,-0.8264,0.3507,0
1,128,3.2585,-1.2831,-0.8347,0.3425,0
1,129,3.2625,-1.4443,-0.8426,0.3346,0
1,130,3.2665,-1.5626,-0.8501,0.3272,0
1,131,3.2705,-1.5444,-0.8572,0.3202,0
1,132,3.2745,-1.3858,-0.8638,0.3137,0
1,133,3.2785,-1.1739,-0.8700,0.3076,0
1,134,3.2825,-0.9893,-0.8758,0.3018,0
1,135,3.2865,-0.8502,-0.8814,0.2964,0
1,136,3.2905,-0.7384,-0.8867,0.2911,0
1,137,3.2945,-0.6565,-0.8920,0.2860,0
1,138,3.2985,-0.6136,-0.8972,0.2808,0
1,139,3.3025,-0.5967,-0.9025,0.2756,0
1,140,3.3065,-0.5759,-0.9080,0.2702,0
1,141,3.3105,-0.5356,-0.9137,0.2645,0
1,142,3.3145,-0.4927,-0.9197,0.2586,0
1,143,3.3185,-0.4784,-0.9260,0.2524,0
1,144,3.3225,-0.5122,-0.9326,0.2460,0
1,145,3.3265,-0.5928,-0.9394,0.2392,0
1,146,3.3305,-0.6942,-0.9464,0.2323,0
1,147,3.3345,-0.7904,-0.9536,0.2252,0
1,148,3.3385,-0.8814,-0.9608,0.2181,0
1,149,3.3425,-0.9854,-0.9679,0.2111,0
1,150,3.3465,-1.1102,-0.9748,0.2042,0
1,151,3.3505,-1.2363,-0.9815,0.1976,0
1,152,3.3545,-1.3481,-0.9878,0.1914,0
1,153,3.3585,-1.4690,-0.9937,0.1856,0
1,154,3.3625,-1.6055,-0.9990,0.1804,0
1,155,3.3665,-1.6913,-1.0038,0.1757,0
1,156,3.3705,-1.6406,-1.0080,0.1716,0
1,157,3.3745,-1.4612,-1.0115,0.1681,0
1,158,3.3785,-1.2467,-1.0145,0.1652,0
1,159,3.3825,-1.0777,-1.0169,0.1629,0
1,160,3.3865,-0.9555,-1.0188,0.1611,0
1,161,3.3905,-0.8580,-1.0203,0.1597,0
1,162,3.3945,-0.7865,-1.0213,0.1588,0
1,163,3.3985,-0.7514,-1.0219,0.1583,0
1,164,3.4025,-0.7384,-1.0222,0.1580,0
1,165,3.4065,-0.7215,-1.0222,0.1581,0
1,166,3.4105,-0.6877,-1.0219,0.1585,0
1,167,3.4145,-0.6474,-1.0213,0.1592,0
1,168,3.4185,-0.6318,-1.0204,0.1602,0
1,169,3.4225,-0.6747,-1.0191,0.1616,0
1,170,3.4265,-0.7722,-1.0174,0.1633,0
1,171,3.4305,-0.8788,-1.0152,0.1656,0
1,172,3.4345,-0.9594,-1.0125,0.1684,0
