--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,25/05/2021 10:34:51 a.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,24/05/2021 9:23:52 a.m.
Revised By,c.young
Revision No.,3
Start time of part program,25/05/2021 9:49:59 a.m.
End time of part program,25/05/2021 10:14:15 a.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_4>,1.669µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_4>,Gaussian-50%Low[0.25 mm],2.5055 mm,89.62 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,106,3.1735,0.4264,0.0593,0.1712,0
1,107,3.1775,0.3432,0.0693,0.1814,0
1,108,3.1815,0.2353,0.0795,0.1918,0
1,109,3.1855,0.1430,0.0900,0.2025,0
1,110,3.1895,0.0546,0.1008,0.2135,0
1,111,3.1935,-0.0546,0.1119,0.2249,0
1,112,3.1975,-0.1768,0.1233,0.2365,0
1,113,3.2015,-0.2990,0.1351,0.2484,0
1,114,3.2055,-0.4290,0.1471,0.2606,0
1,115,3.2095,-0.5408,0.1593,0.2730,0
1,116,3.2135,-0.5434,0.1716,0.2856,0
1,117,3.2175,-0.3796,0.1840,0.2981,0
1,118,3.2215,-0.1274,0.1963,0.3106,0
1,119,3.2255,0.0871,0.2083,0.3228,0
1,120,3.2295,0.2366,0.2198,0.3346,0
1,121,3.2335,0.3705,0.2308,0.3457,0
1,122,3.2375,0.5083,0.2409,0.3561,0
1,123,3.2415,0.6149,0.2501,0.3655,0
1,124,3.2455,0.6734,0.2581,0.3737,0
1,125,3.2495,0.7059,0.2648,0.3806,0
1,126,3.2535,0.7306,0.2700,0.3860,0
1,127,3.2575,0.7488,0.2738,0.3899,0
1,128,3.2615,0.7670,0.2759,0.3922,0
1,129,3.2655,0.7917,0.2764,0.3929,0
1,130,3.2695,0.8021,0.2753,0.3920,0
1,131,3.2735,0.7592,0.2727,0.3896,0
1,132,3.2775,0.6630,0.2686,0.3858,0
1,133,3.2815,0.5551,0.2633,0.3806,0
1,134,3.2855,0.4654,0.2568,0.3744,0
1,135,3.2895,0.3718,0.2494,0.3672,0
1,136,3.2935,0.2431,0.2412,0.3592,0
1,137,3.2975,0.1040,0.2325,0.3507,0
1,138,3.3015,-0.0013,0.2235,0.3419,0
1,139,3.3055,-0.0923,0.2143,0.3329,0
1,140,3.3095,-0.2262,0.2051,0.3239,0
1,141,3.3135,-0.4030,0.1960,0.3150,0
1,142,3.3175,-0.5265,0.1872,0.3064,0
1,143,3.3215,-0.4979,0.1787,0.2981,0
1,144,3.3255,-0.3328,0.1706,0.2902,0
1,145,3.3295,-0.1300,0.1630,0.2828,0
1,146,3.3335,0.0338,0.1557,0.2757,0
1,147,3.3375,0.1586,0.1489,0.2691,0
1,148,3.3415,0.2626,0.1424,0.2628,0
1,149,3.3455,0.3406,0.1361,0.2567,0
1,150,3.3495,0.3835,0.1301,0.2509,0
1,151,3.3535,0.4017,0.1243,0.2453,0
1,152,3.3575,0.4238,0.1186,0.2399,0
1,153,3.3615,0.4654,0.1131,0.2345,0
1,154,3.3655,0.5135,0.1076,0.2292,0
1,155,3.3695,0.5356,0.1022,0.2240,0
1,156,3.3735,0.4966,0.0970,0.2190,0
1,157,3.3775,0.3978,0.0919,0.2141,0
