--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:04:28 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_5>,3.567µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_5>,Gaussian-50%Low[0.25 mm],2.5005 mm,269.50 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,101,3.1485,-0.5499,-0.0537,-0.6938,0
1,102,3.1525,-0.5889,-0.0477,-0.6882,0
1,103,3.1565,-0.5941,-0.0408,-0.6816,0
1,104,3.1605,-0.5798,-0.0329,-0.6740,0
1,105,3.1645,-0.5564,-0.0239,-0.6654,0
1,106,3.1685,-0.5109,-0.0140,-0.6558,0
1,107,3.1725,-0.4394,-0.0032,-0.6453,0
1,108,3.1765,-0.3588,0.0084,-0.6340,0
1,109,3.1805,-0.2704,0.0206,-0.6221,0
1,110,3.1845,-0.1456,0.0333,-0.6098,0
1,111,3.1885,0.0182,0.0463,-0.5971,0
1,112,3.1925,0.1846,0.0594,-0.5843,0
1,113,3.1965,0.3458,0.0724,-0.5716,0
1,114,3.2005,0.5538,0.0851,-0.5592,0
1,115,3.2045,0.8164,0.0975,-0.5472,0
1,116,3.2085,1.0179,0.1093,-0.5357,0
1,117,3.2125,1.0205,0.1204,-0.5249,0
1,118,3.2165,0.8346,0.1308,-0.5148,0
1,119,3.2205,0.6019,0.1405,-0.5055,0
1,120,3.2245,0.4238,0.1493,-0.4970,0
1,121,3.2285,0.2899,0.1573,-0.4893,0
1,122,3.2325,0.1521,0.1645,-0.4824,0
1,123,3.2365,0.0182,0.1711,-0.4762,0
1,124,3.2405,-0.0832,0.1769,-0.4707,0
1,125,3.2445,-0.1456,0.1821,-0.4658,0
1,126,3.2485,-0.1846,0.1867,-0.4615,0
1,127,3.2525,-0.2119,0.1908,-0.4578,0
1,128,3.2565,-0.2236,0.1943,-0.4546,0
1,129,3.2605,-0.2119,0.1974,-0.4518,0
1,130,3.2645,-0.1729,0.1999,-0.4496,0
