--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:05:06 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_7>,1.079µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_7>,Gaussian-50%Low[0.25 mm],2.5005 mm,359.50 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,107,3.1725,1.7082,1.3497,-0.0377,0
1,108,3.1765,1.9435,1.3538,-0.0342,0
1,109,3.1805,2.1827,1.3575,-0.0310,0
1,110,3.1845,2.2828,1.3607,-0.0284,0
1,111,3.1885,2.1671,1.3633,-0.0264,0
1,112,3.1925,1.9292,1.3653,-0.0250,0
1,113,3.1965,1.7160,1.3666,-0.0242,0
1,114,3.2005,1.5665,1.3673,-0.0241,0
1,115,3.2045,1.4235,1.3675,-0.0245,0
1,116,3.2085,1.2688,1.3671,-0.0254,0
1,117,3.2125,1.1388,1.3663,-0.0268,0
1,118,3.2165,1.0530,1.3651,-0.0286,0
1,119,3.2205,0.9919,1.3636,-0.0306,0
1,120,3.2245,0.9425,1.3619,-0.0330,0
1,121,3.2285,0.9152,1.3599,-0.0355,0
1,122,3.2325,0.9113,1.3578,-0.0382,0
1,123,3.2365,0.9243,1.3555,-0.0410,0
1,124,3.2405,0.9620,1.3530,-0.0441,0
1,125,3.2445,1.0218,1.3503,-0.0474,0
1,126,3.2485,1.0868,1.3473,-0.0510,0
1,127,3.2525,1.1518,1.3439,-0.0550,0
1,128,3.2565,1.2454,1.3400,-0.0594,0
1,129,3.2605,1.3780,1.3355,-0.0644,0
1,130,3.2645,1.5145,1.3305,-0.0701,0
1,131,3.2685,1.6549,1.3246,-0.0765,0
1,132,3.2725,1.8499,1.3180,-0.0836,0
1,133,3.2765,2.0891,1.3106,-0.0916,0
1,134,3.2805,2.2360,1.3024,-0.1004,0
1,135,3.2845,2.1632,1.2934,-0.1100,0
1,136,3.2885,1.9227,1.2836,-0.1204,0
1,137,3.2925,1.6718,1.2732,-0.1314,0
1,138,3.2965,1.4898,1.2622,-0.1429,0
1,139,3.3005,1.3416,1.2508,-0.1549,0
1,140,3.3045,1.1895,1.2392,-0.1671,0
1,141,3.3085,1.0426,1.2274,-0.1794,0
1,142,3.3125,0.9165,1.2158,-0.1916,0
1,143,3.3165,0.8086,1.2044,-0.2036,0
1,144,3.3205,0.7267,1.1933,-0.2152,0
1,145,3.3245,0.6773,1.1828,-0.2264,0
1,146,3.3285,0.6513,1.1728,-0.2369,0
1,147,3.3325,0.6344,1.1634,-0.2468,0
1,148,3.3365,0.6357,1.1548,-0.2561,0
1,149,3.3405,0.6721,1.1468,-0.2646,0
1,150,3.3445,0.7306,1.1394,-0.2726,0
1,151,3.3485,0.7943,1.1325,-0.2800,0
1,152,3.3525,0.8684,1.1261,-0.2870,0
1,153,3.3565,0.9763,1.1201,-0.2936,0
1,154,3.3605,1.1050,1.1142,-0.3000,0
1,155,3.3645,1.2311,1.1085,-0.3063,0
1,156,3.3685,1.3754,1.1028,-0.3126,0
1,157,3.3725,1.5938,1.0970,-0.3190,0
1,158,3.3765,1.8525,1.0910,-0.3255,0
1,159,3.3805,2.0072,1.0848,-0.3323,0
1,160,3.3845,1.9409,1.0785,-0.3392,0
1,161,3.3885,1.7095,1.0720,-0.3463,0
1,162,3.3925,1.4612,1.0653,-0.3535,0
1,163,3.3965,1.2779,1.0587,-0.3607,0
1,164,3.4005,1.1336,1.0522,-0.3677,0
1,165,3.4045,0.9854,1.0460,-0.3745,0
1,166,3.4085,0.8398,1.0402,-0.3809,0
1,167,3.4125,0.7150,1.0350,-0.3867,0
1,168,3.4165,0.6136,1.0305,-0.3918,0
1,169,3.4205,0.5356,1.0269,-0.3959,0
1,170,3.4245,0.4862,1.0243,-0.3991,0
1,171,3.4285,0.4615,1.0228,-0.4011,0
1,172,3.4325,0.4537,1.0225,-0.4021,0
1,173,3.4365,0.4628,1.0233,-0.4018,0
1,174,3.4405,0.4979,1.0253,-0.4004,0
1,175,3.4445,0.5603,1.0283,-0.3979,0
1,176,3.4485,0.6344,1.0324,-0.3945,0
1,177,3.4525,0.7111,1.0373,-0.3901,0
1,178,3.4565,0.8099,1.0429,-0.3850,0
1,179,3.4605,0.9386,1.0491,-0.3794,0
1,180,3.4645,1.0842,1.0557,-0.3734,0
1,181,3.4685,1.2376,1.0625,-0.3672,0
1,182,3.4725,1.4391,1.0694,-0.3609,0
1,183,3.4765,1.7082,1.0762,-0.3546,0
1,184,3.4805,1.9539,1.0829,-0.3485,0
1,185,3.4845,2.0267,1.0893,-0.3427,0
1,186,3.4885,1.8902,1.0954,-0.3371,0
1,187,3.4925,1.6588,1.1013,-0.3319,0
1,188,3.4965,1.4586,1.1068,-0.3268,0
1,189,3.5005,1.3039,1.1122,-0.3220,0
1,190,3.5045,1.1531,1.1175,-0.3173,0
1,191,3.5085,1.0023,1.1227,-0.3127,0
1,192,3.5125,0.8775,1.1281,-0.3079,0
1,193,3.5165,0.7839,1.1336,-0.3030,0
1,194,3.5205,0.7085,1.1394,-0.2977,0
1,195,3.5245,0.6552,1.1456,-0.2921,0
1,196,3.5285,0.6344,1.1523,-0.2860,0
1,197,3.5325,0.6383,1.1594,-0.2794,0
1,198,3.5365,0.6526,1.1670,-0.2724,0
1,199,3.5405,0.6812,1.1751,-0.2649,0
1,200,3.5445,0.7384,1.1835,-0.2571,0
1,201,3.5485,0.8177,1.1921,-0.2490,0
1,202,3.5525,0.8957,1.2009,-0.2408,0
1,203,3.5565,0.9802,1.2096,-0.2327,0
1,204,3.5605,1.1011,1.2181,-0.2247,0
1,205,3.5645,1.2688,1.2262,-0.2172,0
1,206,3.5685,1.4534,1.2337,-0.2102,0
1,207,3.5725,1.6484,1.2405,-0.2040,0
1,208,3.5765,1.8876,1.2465,-0.1986,0
1,209,3.5805,2.1463,1.2514,-0.1942,0
1,210,3.5845,2.2945,1.2554,-0.1909,0
1,211,3.5885,2.2217,1.2582,-0.1886,0
1,212,3.5925,1.9799,1.2599,-0.1875,0
1,213,3.5965,1.7251,1.2606,-0.1873,0
1,214,3.6005,1.5405,1.2604,-0.1881,0
1,215,3.6045,1.3884,1.2593,-0.1898,0
1,216,3.6085,1.2298,1.2576,-0.1921,0
1,217,3.6125,1.0777,1.2553,-0.1950,0
1,218,3.6165,0.9555,1.2527,-0.1982,0
1,219,3.6205,0.8632,1.2499,-0.2015,0
1,220,3.6245,0.7956,1.2470,-0.2049,0
1,221,3.6285,0.7566,1.2443,-0.2082,0
1,222,3.6325,0.7423,1.2419,-0.2112,0
1,223,3.6365,0.7371,1.2398,-0.2138,0
1,224,3.6405,0.7488,1.2382,-0.2160,0
1,225,3.6445,0.7943,1.2371,-0.2178,0
1,226,3.6485,0.8658,1.2364,-0.2190,0
1,227,3.6525,0.9308,1.2362,-0.2198,0
1,228,3.6565,0.9867,1.2364,-0.2202,0
1,229,3.6605,1.0751,1.2369,-0.2202,0
1,230,3.6645,1.2168,1.2378,-0.2199,0
1,231,3.6685,1.3767,1.2388,-0.2195,0
1,232,3.6725,1.5353,1.2400,-0.2189,0
1,233,3.6765,1.7277,1.2412,-0.2182,0
1,234,3.6805,1.9474,1.2424,-0.2175,0
1,235,3.6845,2.0826,1.2437,-0.2169,0
1,236,3.6885,2.0215,1.2449,-0.2162,0
1,237,3.6925,1.8057,1.2461,-0.2156,0
1,238,3.6965,1.5743,1.2474,-0.2149,0
1,239,3.7005,1.4066,1.2488,-0.2140,0
1,240,3.7045,1.2701,1.2504,-0.2130,0
1,241,3.7085,1.1258,1.2523,-0.2116,0
1,242,3.7125,0.9906,1.2547,-0.2099,0
1,243,3.7165,0.8944,1.2575,-0.2076,0
1,244,3.7205,0.8307,1.2610,-0.2047,0
1,245,3.7245,0.7878,1.2651,-0.2012,0
1,246,3.7285,0.7605,1.2699,-0.1970,0
1,247,3.7325,0.7527,1.2754,-0.1920,0
1,248,3.7365,0.7631,1.2817,-0.1863,0
1,249,3.7405,0.7982,1.2887,-0.1799,0
1,250,3.7445,0.8606,1.2962,-0.1729,0
1,251,3.7485,0.9334,1.3043,-0.1654,0
1,252,3.7525,1.0049,1.3127,-0.1575,0
1,253,3.7565,1.0907,1.3214,-0.1494,0
1,254,3.7605,1.2220,1.3302,-0.1412,0
1,255,3.7645,1.3923,1.3388,-0.1331,0
1,256,3.7685,1.5691,1.3473,-0.1252,0
1,257,3.7725,1.7524,1.3554,-0.1177,0
1,258,3.7765,1.9786,1.3631,-0.1106,0
1,259,3.7805,2.2243,1.3703,-0.1040,0
1,260,3.7845,2.3621,1.3769,-0.0979,0
1,261,3.7885,2.2867,1.3830,-0.0924,0
1,262,3.7925,2.0436,1.3886,-0.0874,0
1,263,3.7965,1.7836,1.3937,-0.0828,0
1,264,3.8005,1.5951,1.3986,-0.0785,0
1,265,3.8045,1.4521,1.4033,-0.0744,0
1,266,3.8085,1.3078,1.4080,-0.0703,0
1,267,3.8125,1.1700,1.4129,-0.0659,0
1,268,3.8165,1.0647,1.4182,-0.0612,0
1,269,3.8205,0.9932,1.4241,-0.0559,0
1,270,3.8245,0.9399,1.4307,-0.0499,0
1,271,3.8285,0.8970,1.4381,-0.0430,0
1,272,3.8325,0.8723,1.4465,-0.0352,0
1,273,3.8365,0.8801,1.4559,-0.0264,0
1,274,3.8405,0.9152,1.4663,-0.0165,0
