--------------------------------------------------------------
Output text data of Measurement
C:\Users\Public\Documents\Length Stds Data\L0168\straightness.rnd,19/05/2021 3:04:06 p.m.
Title,straightness
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,19/05/2021 2:13:19 p.m.
Revised By,c.young
Revision No.,2
Start time of part program,19/05/2021 2:48:06 p.m.
End time of part program,19/05/2021 3:00:40 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_4>,2.071µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Outer(VERT)<LN_4>,Gaussian-50%Low[0.25 mm],2.5005 mm,89.87 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,101,3.1485,-1.1245,-1.0730,0.6821,0
1,102,3.1525,-1.2805,-1.0829,0.6723,0
1,103,3.1565,-1.4144,-1.0930,0.6623,0
1,104,3.1605,-1.5392,-1.1032,0.6522,0
1,105,3.1645,-1.6952,-1.1134,0.6422,0
1,106,3.1685,-1.8525,-1.1234,0.6324,0
1,107,3.1725,-1.9019,-1.1331,0.6227,0
1,108,3.1765,-1.7823,-1.1427,0.6133,0
1,109,3.1805,-1.5561,-1.1520,0.6042,0
1,110,3.1845,-1.3416,-1.1610,0.5953,0
1,111,3.1885,-1.1921,-1.1699,0.5866,0
1,112,3.1925,-1.0738,-1.1786,0.5780,0
1,113,3.1965,-0.9516,-1.1873,0.5694,0
1,114,3.2005,-0.8411,-1.1960,0.5609,0
1,115,3.2045,-0.7839,-1.2047,0.5522,0
1,116,3.2085,-0.7878,-1.2136,0.5435,0
1,117,3.2125,-0.8138,-1.2227,0.5345,0
1,118,3.2165,-0.8307,-1.2320,0.5254,0
1,119,3.2205,-0.8398,-1.2414,0.5160,0
1,120,3.2245,-0.8567,-1.2511,0.5066,0
1,121,3.2285,-0.8970,-1.2608,0.4970,0
1,122,3.2325,-0.9685,-1.2705,0.4874,0
1,123,3.2365,-1.0647,-1.2801,0.4779,0
1,124,3.2405,-1.1700,-1.2895,0.4687,0
1,125,3.2445,-1.2818,-1.2985,0.4598,0
1,126,3.2485,-1.4196,-1.3071,0.4513,0
1,127,3.2525,-1.5782,-1.3151,0.4434,0
1,128,3.2565,-1.7342,-1.3224,0.4363,0
1,129,3.2605,-1.8850,-1.3289,0.4300,0
1,130,3.2645,-2.0423,-1.3345,0.4245,0
1,131,3.2685,-2.1619,-1.3392,0.4199,0
1,132,3.2725,-2.1489,-1.3430,0.4163,0
1,133,3.2765,-1.9734,-1.3458,0.4136,0
1,134,3.2805,-1.7212,-1.3478,0.4117,0
1,135,3.2845,-1.5054,-1.3490,0.4106,0
1,136,3.2885,-1.3546,-1.3495,0.4103,0
1,137,3.2925,-1.2350,-1.3493,0.4106,0
1,138,3.2965,-1.1232,-1.3487,0.4113,0
1,139,3.3005,-1.0192,-1.3477,0.4125,0
1,140,3.3045,-0.9412,-1.3464,0.4139,0
1,141,3.3085,-0.9061,-1.3449,0.4155,0
1,142,3.3125,-0.9178,-1.3433,0.4173,0
1,143,3.3165,-0.9490,-1.3417,0.4191,0
1,144,3.3205,-0.9724,-1.3400,0.4209,0
1,145,3.3245,-0.9828,-1.3383,0.4227,0
1,146,3.3285,-1.0023,-1.3365,0.4246,0
1,147,3.3325,-1.0491,-1.3347,0.4266,0
1,148,3.3365,-1.1206,-1.3327,0.4287,0
1,149,3.3405,-1.2246,-1.3306,0.4310,0
1,150,3.3445,-1.3624,-1.3282,0.4335,0
1,151,3.3485,-1.5132,-1.3254,0.4364,0
1,152,3.3525,-1.6484,-1.3223,0.4396,0
1,153,3.3565,-1.7810,-1.3187,0.4433,0
1,154,3.3605,-1.9409,-1.3148,0.4475,0
1,155,3.3645,-2.0891,-1.3103,0.4520,0
1,156,3.3685,-2.1164,-1.3055,0.4569,0
1,157,3.3725,-1.9695,-1.3004,0.4622,0
1,158,3.3765,-1.7212,-1.2950,0.4677,0
1,159,3.3805,-1.4833,-1.2896,0.4733,0
1,160,3.3845,-1.3026,-1.2841,0.4789,0
1,161,3.3885,-1.1648,-1.2789,0.4842,0
1,162,3.3925,-1.0478,-1.2740,0.4893,0
1,163,3.3965,-0.9360,-1.2696,0.4938,0
1,164,3.4005,-0.8268,-1.2659,0.4976,0
1,165,3.4045,-0.7475,-1.2631,0.5006,0
1,166,3.4085,-0.7267,-1.2611,0.5027,0
1,167,3.4125,-0.7527,-1.2601,0.5038,0
1,168,3.4165,-0.7826,-1.2602,0.5039,0
1,169,3.4205,-0.8008,-1.2614,0.5028,0
1,170,3.4245,-0.8190,-1.2636,0.5008,0
1,171,3.4285,-0.8515,-1.2668,0.4977,0
1,172,3.4325,-0.9048,-1.2709,0.4937,0
1,173,3.4365,-0.9854,-1.2758,0.4890,0
1,174,3.4405,-1.0985,-1.2813,0.4836,0
1,175,3.4445,-1.2402,-1.2873,0.4778,0
1,176,3.4485,-1.3936,-1.2936,0.4716,0
1,177,3.4525,-1.5405,-1.3000,0.4653,0
1,178,3.4565,-1.6770,-1.3065,0.4589,0
1,179,3.4605,-1.8239,-1.3129,0.4527,0
1,180,3.4645,-1.9864,-1.3190,0.4467,0
1,181,3.4685,-2.0995,-1.3249,0.4410,0
1,182,3.4725,-2.0670,-1.3304,0.4356,0
1,183,3.4765,-1.8850,-1.3355,0.4306,0
1,184,3.4805,-1.6614,-1.3403,0.4259,0
1,185,3.4845,-1.4924,-1.3448,0.4216,0
1,186,3.4885,-1.3741,-1.3491,0.4174,0
1,187,3.4925,-1.2571,-1.3532,0.4135,0
1,188,3.4965,-1.1297,-1.3572,0.4096,0
1,189,3.5005,-1.0270,-1.3613,0.4057,0
1,190,3.5045,-0.9646,-1.3654,0.4016,0
1,191,3.5085,-0.9373,-1.3697,0.3974,0
1,192,3.5125,-0.9347,-1.3743,0.3930,0
1,193,3.5165,-0.9568,-1.3791,0.3884,0
1,194,3.5205,-0.9919,-1.3842,0.3834,0
1,195,3.5245,-1.0153,-1.3894,0.3783,0
1,196,3.5285,-1.0257,-1.3949,0.3730,0
1,197,3.5325,-1.0530,-1.4004,0.3676,0
1,198,3.5365,-1.1284,-1.4059,0.3622,0
1,199,3.5405,-1.2506,-1.4112,0.3570,0
1,200,3.5445,-1.4001,-1.4163,0.3521,0
1,201,3.5485,-1.5548,-1.4210,0.3476,0
1,202,3.5525,-1.6991,-1.4251,0.3436,0
1,203,3.5565,-1.8330,-1.4285,0.3403,0
1,204,3.5605,-1.9838,-1.4312,0.3378,0
1,205,3.5645,-2.1528,-1.4330,0.3361,0
1,206,3.5685,-2.2620,-1.4339,0.3353,0
1,207,3.5725,-2.2191,-1.4340,0.3354,0
1,208,3.5765,-2.0319,-1.4331,0.3364,0
1,209,3.5805,-1.8057,-1.4315,0.3382,0
1,210,3.5845,-1.6237,-1.4290,0.3407,0
1,211,3.5885,-1.4833,-1.4260,0.3439,0
1,212,3.5925,-1.3533,-1.4224,0.3477,0
1,213,3.5965,-1.2285,-1.4183,0.3518,0
1,214,3.6005,-1.1128,-1.4140,0.3563,0
