--------------------------------------------------------------
Output text data of Measurement
,12/05/2021 5:11:43 p.m.
Title,
Sub Title,
Created By,c.young
Created Date/Time,12/05/2021 3:55:09 p.m.
Revised Date,
Revised By,c.young
Revision No.,0
Start time of part program,12/05/2021 4:55:30 p.m.
End time of part program,12/05/2021 5:10:12 p.m.
--------------------------------------------------------------
Parameter LSLI,Straightness(In/Out)(STRt)
Straightness(In/Out)<Straight_2>,1.828µm

Extracted line,Filter Setting,Z Position,Angle Pos
Linear-Inner<LN_2>,Gaussian-50%Low[0.25 mm],2.5025 mm,180.02 °
Curve No.,Point No.,ZPos (mm),Extracted line (µm),Profile (µm),LSD (µm),Delete Flag
1,106,3.1705,0.8125,0.9140,-0.4317,0
1,107,3.1745,0.6734,0.9125,-0.4337,0
1,108,3.1785,0.5733,0.9108,-0.4360,0
1,109,3.1825,0.5057,0.9089,-0.4384,0
1,110,3.1865,0.4459,0.9071,-0.4407,0
1,111,3.1905,0.3978,0.9056,-0.4428,0
1,112,3.1945,0.3796,0.9044,-0.4445,0
1,113,3.1985,0.3874,0.9036,-0.4458,0
1,114,3.2025,0.3991,0.9034,-0.4465,0
1,115,3.2065,0.4225,0.9037,-0.4467,0
1,116,3.2105,0.4875,0.9046,-0.4464,0
1,117,3.2145,0.5980,0.9060,-0.4456,0
1,118,3.2185,0.7202,0.9077,-0.4443,0
1,119,3.2225,0.8281,0.9099,-0.4427,0
1,120,3.2265,0.9360,0.9123,-0.4408,0
1,121,3.2305,1.0738,0.9149,-0.4388,0
1,122,3.2345,1.2675,0.9176,-0.4366,0
1,123,3.2385,1.5145,0.9203,-0.4344,0
1,124,3.2425,1.7420,0.9229,-0.4323,0
1,125,3.2465,1.8265,0.9255,-0.4303,0
1,126,3.2505,1.6991,0.9280,-0.4283,0
1,127,3.2545,1.4365,0.9304,-0.4264,0
1,128,3.2585,1.1908,0.9328,-0.4246,0
1,129,3.2625,1.0270,0.9353,-0.4227,0
1,130,3.2665,0.9009,0.9378,-0.4207,0
1,131,3.2705,0.7683,0.9405,-0.4185,0
1,132,3.2745,0.6448,0.9435,-0.4160,0
1,133,3.2785,0.5603,0.9469,-0.4132,0
1,134,3.2825,0.4992,0.9506,-0.4100,0
1,135,3.2865,0.4498,0.9549,-0.4063,0
1,136,3.2905,0.4238,0.9597,-0.4020,0
1,137,3.2945,0.4355,0.9649,-0.3973,0
1,138,3.2985,0.4693,0.9706,-0.3921,0
1,139,3.3025,0.5109,0.9767,-0.3865,0
1,140,3.3065,0.5746,0.9832,-0.3807,0
1,141,3.3105,0.6708,0.9897,-0.3746,0
1,142,3.3145,0.7787,0.9963,-0.3685,0
1,143,3.3185,0.8840,1.0028,-0.3626,0
1,144,3.3225,1.0010,1.0090,-0.3570,0
1,145,3.3265,1.1544,1.0147,-0.3518,0
1,146,3.3305,1.3520,1.0197,-0.3473,0
1,147,3.3345,1.5821,1.0240,-0.3435,0
1,148,3.3385,1.8135,1.0274,-0.3406,0
1,149,3.3425,1.9786,1.0299,-0.3387,0
1,150,3.3465,1.9955,1.0314,-0.3378,0
1,151,3.3505,1.8421,1.0318,-0.3379,0
1,152,3.3545,1.5938,1.0313,-0.3389,0
1,153,3.3585,1.3559,1.0299,-0.3409,0
1,154,3.3625,1.1700,1.0276,-0.3437,0
1,155,3.3665,1.0114,1.0246,-0.3472,0
1,156,3.3705,0.8606,1.0210,-0.3513,0
1,157,3.3745,0.7371,1.0171,-0.3558,0
1,158,3.3785,0.6565,1.0128,-0.3607,0
1,159,3.3825,0.5941,1.0083,-0.3657,0
1,160,3.3865,0.5265,1.0038,-0.3707,0
1,161,3.3905,0.4784,0.9994,-0.3756,0
1,162,3.3945,0.4784,0.9951,-0.3805,0
1,163,3.3985,0.5096,0.9909,-0.3852,0
1,164,3.4025,0.5421,0.9870,-0.3897,0
1,165,3.4065,0.5785,0.9832,-0.3940,0
1,166,3.4105,0.6526,0.9795,-0.3982,0
1,167,3.4145,0.7696,0.9759,-0.4024,0
1,168,3.4185,0.8970,0.9722,-0.4066,0
1,169,3.4225,1.0088,0.9684,-0.4109,0
1,170,3.4265,1.1167,0.9645,-0.4154,0
1,171,3.4305,1.2675,0.9603,-0.4201,0
1,172,3.4345,1.4872,0.9557,-0.4252,0
1,173,3.4385,1.7238,0.9508,-0.4306,0
1,174,3.4425,1.8642,0.9456,-0.4364,0
1,175,3.4465,1.8174,0.9401,-0.4425,0
1,176,3.4505,1.6029,0.9342,-0.4488,0
1,177,3.4545,1.3325,0.9282,-0.4553,0
1,178,3.4585,1.1076,0.9222,-0.4619,0
1,179,3.4625,0.9464,0.9163,-0.4684,0
1,180,3.4665,0.8099,0.9106,-0.4746,0
1,181,3.4705,0.6734,0.9053,-0.4804,0
1,182,3.4745,0.5525,0.9006,-0.4856,0
1,183,3.4785,0.4615,0.8967,-0.4901,0
1,184,3.4825,0.3848,0.8937,-0.4937,0
1,185,3.4865,0.3107,0.8916,-0.4963,0
1,186,3.4905,0.2678,0.8906,-0.4978,0
1,187,3.4945,0.2821,0.8907,-0.4982,0
1,188,3.4985,0.3315,0.8920,-0.4975,0
1,189,3.5025,0.3783,0.8943,-0.4957,0
1,190,3.5065,0.4290,0.8975,-0.4930,0
1,191,3.5105,0.5161,0.9016,-0.4895,0
1,192,3.5145,0.6344,0.9064,-0.4852,0
1,193,3.5185,0.7514,0.9117,-0.4804,0
1,194,3.5225,0.8593,0.9173,-0.4754,0
1,195,3.5265,0.9867,0.9230,-0.4702,0
1,196,3.5305,1.1544,0.9287,-0.4651,0
1,197,3.5345,1.3702,0.9341,-0.4602,0
1,198,3.5385,1.6224,0.9390,-0.4558,0
1,199,3.5425,1.8447,0.9434,-0.4519,0
1,200,3.5465,1.9240,0.9471,-0.4487,0
1,201,3.5505,1.8096,0.9501,-0.4463,0
1,202,3.5545,1.5730,0.9524,-0.4446,0
1,203,3.5585,1.3377,0.9539,-0.4436,0
1,204,3.5625,1.1505,0.9547,-0.4434,0
1,205,3.5665,0.9750,0.9548,-0.4437,0
1,206,3.5705,0.7995,0.9544,-0.4447,0
1,207,3.5745,0.6669,0.9535,-0.4461,0
1,208,3.5785,0.6006,0.9523,-0.4478,0
1,209,3.5825,0.5668,0.9508,-0.4498,0
1,210,3.5865,0.5278,0.9492,-0.4520,0
1,211,3.5905,0.4901,0.9475,-0.4542,0
1,212,3.5945,0.4745,0.9458,-0.4565,0
1,213,3.5985,0.4732,0.9441,-0.4587,0
1,214,3.6025,0.4836,0.9424,-0.4609,0
1,215,3.6065,0.5252,0.9407,-0.4632,0
1,216,3.6105,0.6175,0.9390,-0.4655,0
1,217,3.6145,0.7423,0.9371,-0.4678,0
1,218,3.6185,0.8645,0.9351,-0.4704,0
1,219,3.6225,0.9724,0.9328,-0.4732,0
1,220,3.6265,1.0881,0.9302,-0.4763,0
